title,Author(s),Year published,Approximate sales,Original language,book_series,No. of installments,First published,first,last
virgin soil upturned (поднятая целина),mikhail sholokhov,1935-01-01,24.0,rus,n,,1935,1935,
the celestine prophecy,james redfield,1993-01-01,23.0,eng,n,,1993,1993,
the fault in our stars,john green,2012-01-01,23.0,eng,n,,2012,2012,
the girl on the train,paula hawkins,2015-01-01,23.0,eng,n,,2015,2015,
the shack,william p. young,2007-01-01,22.5,eng,n,,2007,2007,
uncle styopa (дядя стёпа),sergey mikhalkov,1936-01-01,21.0,rus,n,,1936,1936,
the godfather,mario puzo,1969-01-01,21.0,eng,n,,1969,1969,
love story,erich segal,1970-01-01,21.0,eng,n,,1970,1970,
catching fire,suzanne collins,2009-01-01,21.0,eng,n,,2009,2009,
mockingjay,suzanne collins,2010-01-01,20.0,eng,n,,2010,2010,
kitchen (キッチン),banana yoshimoto,1988-01-01,20.0,jpn,n,,1988,1988,
andromeda nebula (туманность андромеды),ivan yefremov,1957-01-01,20.0,rus,n,,1957,1957,
autobiography of a yogi (योगी कथामृत),paramahansa yogananda,1946-01-01,20.0,hin,n,,1946,1946,
gone girl,gillian flynn,2012-01-01,20.0,eng,n,,2012,2012,
all quiet on the western front (im westen nichts neues),erich maria remarque,1929-01-01,20.0,deu,n,,1929,1929,
the bermuda triangle,charles berlitz,1974-01-01,20.0,eng,n,,1974,1974,
things fall apart,chinua achebe,1958-01-01,20.0,eng,n,,1958,1958,
animal farm,george orwell,1945-01-01,20.0,eng,n,,1945,1945,
wolf totem (狼图腾),jiang rong,2004-01-01,20.0,zho,n,,2004,2004,
the happy hooker: my own story,xaviera hollander,1971-01-01,20.0,eng,n,,1971,1971,
jaws,peter benchley,1974-01-01,20.0,eng,n,,1974,1974,
love you forever,robert munsch,1986-01-01,20.0,eng,n,,1986,1986,
the women's room,marilyn french,1977-01-01,20.0,eng,n,,1977,1977,
what to expect when you're expecting,arlene eisenberg and heidi murkoff,1984-01-01,20.0,eng,n,,1984,1984,
adventures of huckleberry finn,mark twain,1885-01-01,20.0,eng,n,,1885,1885,
"the secret diary of adrian mole, aged 13¾",sue townsend,1982-01-01,20.0,eng,n,,1982,1982,
pride and prejudice,jane austen,1813-01-01,20.0,eng,n,,1813,1813,
kon-tiki: across the pacific in a raft (kon-tiki ekspedisjonen),thor heyerdahl,1950-01-01,20.0,nor,n,,1950,1950,
